Provincias;Nivel de ingresos mensuales netos del hogar;Tamaño del municipio;Tipo de dispositivo de energía renovable;Total
Total Nacional;Total;Total;Un único tipo de dispositivo: Energía solar térmica;736.984
Total Nacional;Total;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;323.853
Total Nacional;Total;Total;Combinación de varios tipos de dispositivos;44.205
Total Nacional;Total;Total;No dispone de dispositivo de energía renovable;17.705.004
Total Nacional;Total;Total;Total;18.810.046
Total Nacional;Total;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;345.625
Total Nacional;Total;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;159.697
Total Nacional;Total;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;29.441
Total Nacional;Total;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;8.371.964
Total Nacional;Total;De 50.000 habitantes o menos;Total;8.906.728
Total Nacional;Total;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;391.359
Total Nacional;Total;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;164.156
Total Nacional;Total;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;14.763
Total Nacional;Total;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;9.333.040
Total Nacional;Total;Más de 50.000 habitantes;Total;9.903.318
Total Nacional;Menos de 1.000 euros;Total;Un único tipo de dispositivo: Energía solar térmica;105.538
Total Nacional;Menos de 1.000 euros;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;58.745
Total Nacional;Menos de 1.000 euros;Total;Combinación de varios tipos de dispositivos;4.711
Total Nacional;Menos de 1.000 euros;Total;No dispone de dispositivo de energía renovable;4.169.276
Total Nacional;Menos de 1.000 euros;Total;Total;4.338.271
Total Nacional;Menos de 1.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;57.772
Total Nacional;Menos de 1.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;31.539
Total Nacional;Menos de 1.000 euros;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;3.835
Total Nacional;Menos de 1.000 euros;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;2.243.061
Total Nacional;Menos de 1.000 euros;De 50.000 habitantes o menos;Total;2.336.207
Total Nacional;Menos de 1.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;47.766
Total Nacional;Menos de 1.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;27.206
Total Nacional;Menos de 1.000 euros;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;876
Total Nacional;Menos de 1.000 euros;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;1.926.215
Total Nacional;Menos de 1.000 euros;Más de 50.000 habitantes;Total;2.002.064
Total Nacional;De 1.000 euros a menos de 1.500 euros;Total;Un único tipo de dispositivo: Energía solar térmica;139.919
Total Nacional;De 1.000 euros a menos de 1.500 euros;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;68.907
Total Nacional;De 1.000 euros a menos de 1.500 euros;Total;Combinación de varios tipos de dispositivos;6.735
Total Nacional;De 1.000 euros a menos de 1.500 euros;Total;No dispone de dispositivo de energía renovable;4.117.321
Total Nacional;De 1.000 euros a menos de 1.500 euros;Total;Total;4.332.882
Total Nacional;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;70.470
Total Nacional;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;36.554
Total Nacional;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;5.411
Total Nacional;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;2.078.020
Total Nacional;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;Total;2.190.455
Total Nacional;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;69.449
Total Nacional;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;32.353
Total Nacional;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;1.324
Total Nacional;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;2.039.301
Total Nacional;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;Total;2.142.427
Total Nacional;De 1.500 euros a menos de 2.000 euros;Total;Un único tipo de dispositivo: Energía solar térmica;121.276
Total Nacional;De 1.500 euros a menos de 2.000 euros;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;51.559
Total Nacional;De 1.500 euros a menos de 2.000 euros;Total;Combinación de varios tipos de dispositivos;5.406
Total Nacional;De 1.500 euros a menos de 2.000 euros;Total;No dispone de dispositivo de energía renovable;3.010.977
Total Nacional;De 1.500 euros a menos de 2.000 euros;Total;Total;3.189.218
Total Nacional;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;55.307
Total Nacional;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;23.627
Total Nacional;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;3.946
Total Nacional;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;1.413.337
Total Nacional;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;Total;1.496.218
Total Nacional;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;65.969
Total Nacional;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;27.931
Total Nacional;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;1.459
Total Nacional;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;1.597.640
Total Nacional;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;Total;1.693.000
Total Nacional;De 2.000 euros a menos de 3.000 euros;Total;Un único tipo de dispositivo: Energía solar térmica;205.767
