Tipo de jornada;Comunidades y Ciudades Autonómas;Decil;Periodo;Total
Total;Total Nacional;Total decil;2022;2.128,37
Total;Total Nacional;Total decil;2021;2.086,78
Total;Total Nacional;1;2022;623,30
Total;Total Nacional;1;2021;570,52
Total;Total Nacional;2;2022;1.138,68
Total;Total Nacional;2;2021;1.042,58
Total;Total Nacional;3;2022;1.346,27
Total;Total Nacional;3;2021;1.267,60
Total;Total Nacional;4;2022;1.528,94
Total;Total Nacional;4;2021;1.461,63
Total;Total Nacional;5;2022;1.717,18
Total;Total Nacional;5;2021;1.657,27
Total;Total Nacional;6;2022;1.923,82
Total;Total Nacional;6;2021;1.874,00
Total;Total Nacional;7;2022;2.195,67
Total;Total Nacional;7;2021;2.163,23
Total;Total Nacional;8;2022;2.602,46
Total;Total Nacional;8;2021;2.576,34
Total;Total Nacional;9;2022;3.187,59
Total;Total Nacional;9;2021;3.159,64
Total;Total Nacional;10;2022;5.019,08
Total;Total Nacional;10;2021;5.092,67
Total;01 Andalucía;Total decil;2022;1.914,87
Total;01 Andalucía;Total decil;2021;1.860,56
Total;01 Andalucía;1;2022;626,54
Total;01 Andalucía;1;2021;571,95
Total;01 Andalucía;2;2022;1.139,95
Total;01 Andalucía;2;2021;1.043,06
Total;01 Andalucía;3;2022;1.346,28
Total;01 Andalucía;3;2021;1.271,16
Total;01 Andalucía;4;2022;1.527,28
Total;01 Andalucía;4;2021;1.456,37
Total;01 Andalucía;5;2022;1.717,15
Total;01 Andalucía;5;2021;1.661,94
Total;01 Andalucía;6;2022;1.917,12
Total;01 Andalucía;6;2021;1.867,39
Total;01 Andalucía;7;2022;2.190,43
Total;01 Andalucía;7;2021;2.162,07
Total;01 Andalucía;8;2022;2.610,28
Total;01 Andalucía;8;2021;2.583,86
Total;01 Andalucía;9;2022;3.166,05
Total;01 Andalucía;9;2021;3.129,52
Total;01 Andalucía;10;2022;4.834,91
Total;01 Andalucía;10;2021;4.924,70
Total;02 Aragón;Total decil;2022;2.029,96
Total;02 Aragón;Total decil;2021;1.994,02
Total;02 Aragón;1;2022;588,71
Total;02 Aragón;1;2021;577,06
Total;02 Aragón;2;2022;1.137,16
Total;02 Aragón;2;2021;1.020,93
Total;02 Aragón;3;2022;1.346,25
Total;02 Aragón;3;2021;1.263,55
Total;02 Aragón;4;2022;1.527,91
Total;02 Aragón;4;2021;1.463,88
Total;02 Aragón;5;2022;1.719,38
Total;02 Aragón;5;2021;1.648,53
Total;02 Aragón;6;2022;1.919,00
Total;02 Aragón;6;2021;1.866,54
Total;02 Aragón;7;2022;2.201,98
Total;02 Aragón;7;2021;2.159,04
Total;02 Aragón;8;2022;2.604,30
Total;02 Aragón;8;2021;2.559,91
Total;02 Aragón;9;2022;3.169,12
Total;02 Aragón;9;2021;3.167,14
Total;02 Aragón;10;2022;4.933,23
Total;02 Aragón;10;2021;5.139,82
Total;03 Asturias, Principado de;Total decil;2022;2.115,30
Total;03 Asturias, Principado de;Total decil;2021;2.079,31
Total;03 Asturias, Principado de;1;2022;664,79
Total;03 Asturias, Principado de;1;2021;540,25
Total;03 Asturias, Principado de;2;2022;1.136,19
Total;03 Asturias, Principado de;2;2021;1.042,38
Total;03 Asturias, Principado de;3;2022;1.348,25
Total;03 Asturias, Principado de;3;2021;1.254,56
Total;03 Asturias, Principado de;4;2022;1.527,52
Total;03 Asturias, Principado de;4;2021;1.459,16
Total;03 Asturias, Principado de;5;2022;1.714,18
Total;03 Asturias, Principado de;5;2021;1.673,23
Total;03 Asturias, Principado de;6;2022;1.932,35
Total;03 Asturias, Principado de;6;2021;1.871,60
Total;03 Asturias, Principado de;7;2022;2.209,98
Total;03 Asturias, Principado de;7;2021;2.156,70
Total;03 Asturias, Principado de;8;2022;2.609,53
Total;03 Asturias, Principado de;8;2021;2.559,89
Total;03 Asturias, Principado de;9;2022;3.165,07
Total;03 Asturias, Principado de;9;2021;3.188,22
Total;03 Asturias, Principado de;10;2022;5.182,18
Total;03 Asturias, Principado de;10;2021;4.769,24
Total;04 Balears, Illes;Total decil;2022;2.311,67
Total;04 Balears, Illes;Total decil;2021;2.073,06
Total;04 Balears, Illes;1;2022;626,60
Total;04 Balears, Illes;1;2021;552,07
Total;04 Balears, Illes;2;2022;1.128,19
Total;04 Balears, Illes;2;2021;1.021,63
Total;04 Balears, Illes;3;2022;1.328,49
Total;04 Balears, Illes;3;2021;1.277,46
Total;04 Balears, Illes;4;2022;1.527,08
Total;04 Balears, Illes;4;2021;1.455,29
Total;04 Balears, Illes;5;2022;1.723,57
Total;04 Balears, Illes;5;2021;1.662,78
Total;04 Balears, Illes;6;2022;1.922,29
Total;04 Balears, Illes;6;2021;1.879,51
Total;04 Balears, Illes;7;2022;2.194,86
Total;04 Balears, Illes;7;2021;2.168,81
Total;04 Balears, Illes;8;2022;2.573,70
Total;04 Balears, Illes;8;2021;2.565,67
Total;04 Balears, Illes;9;2022;3.208,06
Total;04 Balears, Illes;9;2021;3.186,59
Total;04 Balears, Illes;10;2022;5.370,69
Total;04 Balears, Illes;10;2021;5.140,70
Total;05 Canarias;Total decil;2022;1.869,28
Total;05 Canarias;Total decil;2021;1.984,80
Total;05 Canarias;1;2022;672,81
Total;05 Canarias;1;2021;591,83
Total;05 Canarias;2;2022;1.146,21
Total;05 Canarias;2;2021;1.062,32
Total;05 Canarias;3;2022;1.345,13
Total;05 Canarias;3;2021;1.265,14
Total;05 Canarias;4;2022;1.537,39
Total;05 Canarias;4;2021;1.462,28
Total;05 Canarias;5;2022;1.723,14
Total;05 Canarias;5;2021;1.647,72
Total;05 Canarias;6;2022;1.912,25
Total;05 Canarias;6;2021;1.899,65
Total;05 Canarias;7;2022;2.190,15
Total;05 Canarias;7;2021;2.175,57
Total;05 Canarias;8;2022;2.568,99
Total;05 Canarias;8;2021;2.574,42
Total;05 Canarias;9;2022;3.209,58
Total;05 Canarias;9;2021;3.170,13
Total;05 Canarias;10;2022;4.972,79
Total;05 Canarias;10;2021;5.148,53
Total;06 Cantabria;Total decil;2022;2.112,50
Total;06 Cantabria;Total decil;2021;2.059,75
Total;06 Cantabria;1;2022;690,73
Total;06 Cantabria;1;2021;559,74
Total;06 Cantabria;2;2022;1.138,74
Total;06 Cantabria;2;2021;1.030,16
Total;06 Cantabria;3;2022;1.340,60
Total;06 Cantabria;3;2021;1.263,82
Total;06 Cantabria;4;2022;1.520,98
Total;06 Cantabria;4;2021;1.459,56
Total;06 Cantabria;5;2022;1.722,33
Total;06 Cantabria;5;2021;1.654,75
Total;06 Cantabria;6;2022;1.932,89
Total;06 Cantabria;6;2021;1.866,11
Total;06 Cantabria;7;2022;2.211,01
Total;06 Cantabria;7;2021;2.174,64
Total;06 Cantabria;8;2022;2.620,42
Total;06 Cantabria;8;2021;2.586,01
Total;06 Cantabria;9;2022;3.169,05
Total;06 Cantabria;9;2021;3.177,99
Total;06 Cantabria;10;2022;4.908,11
Total;06 Cantabria;10;2021;4.795,68
Total;07 Castilla y León;Total decil;2022;2.075,70
Total;07 Castilla y León;Total decil;2021;1.983,71
Total;07 Castilla y León;1;2022;638,43
Total;07 Castilla y León;1;2021;556,79
Total;07 Castilla y León;2;2022;1.129,26
Total;07 Castilla y León;2;2021;1.039,51
Total;07 Castilla y León;3;2022;1.347,39
Total;07 Castilla y León;3;2021;1.264,08
Total;07 Castilla y León;4;2022;1.528,46
Total;07 Castilla y León;4;2021;1.464,53
Total;07 Castilla y León;5;2022;1.710,29
Total;07 Castilla y León;5;2021;1.654,40
Total;07 Castilla y León;6;2022;1.927,87
Total;07 Castilla y León;6;2021;1.869,33
Total;07 Castilla y León;7;2022;2.189,06
Total;07 Castilla y León;7;2021;2.157,43
Total;07 Castilla y León;8;2022;2.605,87
Total;07 Castilla y León;8;2021;2.558,79
Total;07 Castilla y León;9;2022;3.199,58
Total;07 Castilla y León;9;2021;3.142,15
Total;07 Castilla y León;10;2022;4.903,25
Total;07 Castilla y León;10;2021;4.985,23
Total;08 Castilla - La Mancha;Total decil;2022;1.960,51
Total;08 Castilla - La Mancha;Total decil;2021;1.925,46
Total;08 Castilla - La Mancha;1;2022;614,31
Total;08 Castilla - La Mancha;1;2021;591,21
Total;08 Castilla - La Mancha;2;2022;1.135,88
Total;08 Castilla - La Mancha;2;2021;1.043,63
Total;08 Castilla - La Mancha;3;2022;1.351,67
Total;08 Castilla - La Mancha;3;2021;1.272,75
Total;08 Castilla - La Mancha;4;2022;1.536,48
Total;08 Castilla - La Mancha;4;2021;1.460,46
Total;08 Castilla - La Mancha;5;2022;1.709,82
Total;08 Castilla - La Mancha;5;2021;1.645,63
Total;08 Castilla - La Mancha;6;2022;1.922,54
Total;08 Castilla - La Mancha;6;2021;1.870,38
Total;08 Castilla - La Mancha;7;2022;2.200,58
Total;08 Castilla - La Mancha;7;2021;2.153,37
Total;08 Castilla - La Mancha;8;2022;2.596,97
Total;08 Castilla - La Mancha;8;2021;2.567,18
Total;08 Castilla - La Mancha;9;2022;3.189,24
Total;08 Castilla - La Mancha;9;2021;3.179,58
Total;08 Castilla - La Mancha;10;2022;4.966,92
Total;08 Castilla - La Mancha;10;2021;4.685,26
Total;09 Cataluña;Total decil;2022;2.281,33
Total;09 Cataluña;Total decil;2021;2.214,91
Total;09 Cataluña;1;2022;621,15
Total;09 Cataluña;1;2021;567,34
Total;09 Cataluña;2;2022;1.132,77
Total;09 Cataluña;2;2021;1.035,30
Total;09 Cataluña;3;2022;1.351,91
Total;09 Cataluña;3;2021;1.269,85
Total;09 Cataluña;4;2022;1.529,42
Total;09 Cataluña;4;2021;1.465,84
Total;09 Cataluña;5;2022;1.720,75
Total;09 Cataluña;5;2021;1.659,22
Total;09 Cataluña;6;2022;1.929,80
Total;09 Cataluña;6;2021;1.877,76
Total;09 Cataluña;7;2022;2.195,47
Total;09 Cataluña;7;2021;2.161,41
Total;09 Cataluña;8;2022;2.593,96
Total;09 Cataluña;8;2021;2.582,26
Total;09 Cataluña;9;2022;3.189,85
Total;09 Cataluña;9;2021;3.162,39
Total;09 Cataluña;10;2022;4.950,02
Total;09 Cataluña;10;2021;5.160,05
Total;10 Comunitat Valenciana;Total decil;2022;1.952,79
Total;10 Comunitat Valenciana;Total decil;2021;1.954,64
Total;10 Comunitat Valenciana;1;2022;611,52
Total;10 Comunitat Valenciana;1;2021;582,68
Total;10 Comunitat Valenciana;2;2022;1.138,41
Total;10 Comunitat Valenciana;2;2021;1.049,91
Total;10 Comunitat Valenciana;3;2022;1.342,53
Total;10 Comunitat Valenciana;3;2021;1.269,19
Total;10 Comunitat Valenciana;4;2022;1.526,94
Total;10 Comunitat Valenciana;4;2021;1.462,99
Total;10 Comunitat Valenciana;5;2022;1.714,19
Total;10 Comunitat Valenciana;5;2021;1.660,10
Total;10 Comunitat Valenciana;6;2022;1.925,14
Total;10 Comunitat Valenciana;6;2021;1.873,37
Total;10 Comunitat Valenciana;7;2022;2.192,43
Total;10 Comunitat Valenciana;7;2021;2.162,85
Total;10 Comunitat Valenciana;8;2022;2.624,04
Total;10 Comunitat Valenciana;8;2021;2.580,78
Total;10 Comunitat Valenciana;9;2022;3.157,29
Total;10 Comunitat Valenciana;9;2021;3.140,33
Total;10 Comunitat Valenciana;10;2022;4.965,33
Total;10 Comunitat Valenciana;10;2021;5.219,48
Total;11 Extremadura;Total decil;2022;1.845,34
Total;11 Extremadura;Total decil;2021;1.632,83
Total;11 Extremadura;1;2022;584,83
Total;11 Extremadura;1;2021;564,75
Total;11 Extremadura;2;2022;1.150,51
Total;11 Extremadura;2;2021;1.054,79
Total;11 Extremadura;3;2022;1.334,29
Total;11 Extremadura;3;2021;1.256,27
Total;11 Extremadura;4;2022;1.535,76
Total;11 Extremadura;4;2021;1.464,38
Total;11 Extremadura;5;2022;1.705,63
Total;11 Extremadura;5;2021;1.661,02
Total;11 Extremadura;6;2022;1.915,23
Total;11 Extremadura;6;2021;1.862,87
Total;11 Extremadura;7;2022;2.186,04
Total;11 Extremadura;7;2021;2.183,57
Total;11 Extremadura;8;2022;2.625,26
Total;11 Extremadura;8;2021;2.572,15
Total;11 Extremadura;9;2022;3.168,18
Total;11 Extremadura;9;2021;3.102,39
Total;11 Extremadura;10;2022;5.109,37
Total;11 Extremadura;10;2021;4.747,74
