Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Tamaño del hogar;Año;Total
Total Nacional;;;Total;2023;18.849.621
Total Nacional;;;Total;2022;18.791.675
Total Nacional;;;Total;2021;18.736.673
Total Nacional;;;Total;2020;18.692.279
Total Nacional;;;1 persona;2023;4.987.240
Total Nacional;;;1 persona;2022;4.933.214
Total Nacional;;;1 persona;2021;4.881.986
Total Nacional;;;1 persona;2020;4.829.600
Total Nacional;;;2 personas;2023;5.804.559
Total Nacional;;;2 personas;2022;5.763.142
Total Nacional;;;2 personas;2021;5.722.577
Total Nacional;;;2 personas;2020;5.690.058
Total Nacional;;;3 personas;2023;3.796.898
Total Nacional;;;3 personas;2022;3.813.178
Total Nacional;;;3 personas;2021;3.829.328
Total Nacional;;;3 personas;2020;3.848.456
Total Nacional;;;4 personas;2023;3.153.588
Total Nacional;;;4 personas;2022;3.178.542
Total Nacional;;;4 personas;2021;3.202.969
Total Nacional;;;4 personas;2020;3.228.079
Total Nacional;;;5 personas o más;2023;1.107.336
Total Nacional;;;5 personas o más;2022;1.103.599
Total Nacional;;;5 personas o más;2021;1.099.813
Total Nacional;;;5 personas o más;2020;1.096.086
Total Nacional;;;Tamaño medio;2023;2,49
Total Nacional;;;Tamaño medio;2022;2,49
Total Nacional;;;Tamaño medio;2021;2,50
Total Nacional;;;Tamaño medio;2020;2,51
Total Nacional;01 Andalucía;;Total;2023;3.288.764
Total Nacional;01 Andalucía;;Total;2022;3.273.872
Total Nacional;01 Andalucía;;Total;2021;3.259.221
Total Nacional;01 Andalucía;;Total;2020;3.243.803
Total Nacional;01 Andalucía;;1 persona;2023;814.326
Total Nacional;01 Andalucía;;1 persona;2022;802.055
Total Nacional;01 Andalucía;;1 persona;2021;790.383
Total Nacional;01 Andalucía;;1 persona;2020;777.086
Total Nacional;01 Andalucía;;2 personas;2023;961.957
Total Nacional;01 Andalucía;;2 personas;2022;950.508
Total Nacional;01 Andalucía;;2 personas;2021;938.989
Total Nacional;01 Andalucía;;2 personas;2020;927.984
Total Nacional;01 Andalucía;;3 personas;2023;678.646
Total Nacional;01 Andalucía;;3 personas;2022;679.737
Total Nacional;01 Andalucía;;3 personas;2021;680.665
Total Nacional;01 Andalucía;;3 personas;2020;681.869
Total Nacional;01 Andalucía;;4 personas;2023;631.412
Total Nacional;01 Andalucía;;4 personas;2022;637.351
Total Nacional;01 Andalucía;;4 personas;2021;643.148
Total Nacional;01 Andalucía;;4 personas;2020;649.010
Total Nacional;01 Andalucía;;5 personas o más;2023;202.423
Total Nacional;01 Andalucía;;5 personas o más;2022;204.221
Total Nacional;01 Andalucía;;5 personas o más;2021;206.036
Total Nacional;01 Andalucía;;5 personas o más;2020;207.854
Total Nacional;01 Andalucía;;Tamaño medio;2023;2,56
Total Nacional;01 Andalucía;;Tamaño medio;2022;2,57
Total Nacional;01 Andalucía;;Tamaño medio;2021;2,58
Total Nacional;01 Andalucía;;Tamaño medio;2020;2,59
Total Nacional;01 Andalucía;04 Almería;Total;2023;270.841
Total Nacional;01 Andalucía;04 Almería;Total;2022;268.632
Total Nacional;01 Andalucía;04 Almería;Total;2021;266.394
Total Nacional;01 Andalucía;04 Almería;Total;2020;264.106
Total Nacional;01 Andalucía;04 Almería;1 persona;2023;63.370
Total Nacional;01 Andalucía;04 Almería;1 persona;2022;62.352
Total Nacional;01 Andalucía;04 Almería;1 persona;2021;61.339
Total Nacional;01 Andalucía;04 Almería;1 persona;2020;60.214
Total Nacional;01 Andalucía;04 Almería;2 personas;2023;78.732
Total Nacional;01 Andalucía;04 Almería;2 personas;2022;77.714
Total Nacional;01 Andalucía;04 Almería;2 personas;2021;76.656
Total Nacional;01 Andalucía;04 Almería;2 personas;2020;75.662
Total Nacional;01 Andalucía;04 Almería;3 personas;2023;54.570
Total Nacional;01 Andalucía;04 Almería;3 personas;2022;54.438
Total Nacional;01 Andalucía;04 Almería;3 personas;2021;54.297
