Provincias;Indice de viviendas renovables;Indice de viviendas bajo consumo;Indice de viviendas medio consumo;Indice de viviendas alto consumo
Albacete;4.314061590196861;16.455391959819817;49.556799675110746;3.4100939443792915
Alicante/Alacant;4.036059976402042;17.315108229148613;46.869125026111;4.043833879256833
Almería;6.713842035208567;14.252022417771917;47.126887263321215;4.2795259162261425
Araba/Álava;10.445423882543011;14.195114405720883;65.47184179527147;1.3130183358518854
Asturias;5.0313676562166485;15.586008286596414;52.93397118969306;2.9674853412660047
Badajoz;4.284820916745457;13.947101529316075;49.5727353971904;4.0178436944581115
Barcelona;6.148334823194686;8.325497507552813;63.4568659931322;4.062423230085258
Bizkaia;5.066981026531365;12.335819394148416;68.84143099384951;1.3793685692935562
Burgos;5.041191843882249;23.524247294468488;46.26594930325535;1.5981047674675934
Cantabria;3.4500259908233972;21.536745194738845;51.61843593767106;1.7558035877198013
Castellón/Castelló;4.248335365281815;21.018546697935875;44.18826867648902;2.9044111065361
Ciudad Real;4.2337207090981055;10.829235583370586;37.266428252123376;5.966856121080529
Coruña, A;3.7637144810503718;10.685322747579557;39.590165962842136;7.367084885459291
Cuenca;4.592573977508325;21.487054390880107;38.25415418800116;2.7805284513573567
Cáceres;4.7267928274793265;18.862461978231394;43.89302931465866;3.171340331892976
Cádiz;8.209187456271342;12.669325904742513;56.848617782343524;3.483694428248389
Córdoba;6.240187873833897;9.879596642714812;46.94523277579856;7.88672181631544
Gipuzkoa;5.352706704655504;12.010471443334875;64.27776160052072;2.951588130841655
Girona;5.622456412346883;16.332394599356352;47.04574702268924;4.948750642957229
Granada;6.498633545656589;13.837913026502024;48.073879363839836;4.7356421215565145
Guadalajara;7.19346102519821;15.86173107749003;43.56610696616768;3.691573605142215
Huelva;7.828205305948643;18.28836569857364;50.464465934477964;2.6099454764173786
Huesca;5.696279912416223;22.68291405527138;43.99073572970676;2.7798630144957897
Jaén;4.6103677505445075;11.629562239109493;43.66424060794177;7.245798993899176
León;4.7350366749387085;18.213263795898232;43.086616392980474;2.1419409401649165
Lleida;4.726341316583086;13.383655952608745;49.11180446811751;4.984750918654644
Lugo;2.8206825804480204;13.527857373813957;33.13003824326283;3.73401420464048
Madrid;7.618574712083433;8.136280027230844;63.89200866706505;4.869593272236409
Murcia;4.774558746962079;13.656557279943135;48.754886861746236;5.769458594953204
Málaga;6.0583362707084945;11.930175594572113;50.854793052479685;4.658639696474963
Navarra;6.4650613385626166;13.46072533101382;61.699043200927804;1.991217261041848
Ourense;2.8646559323694065;11.276261254823496;29.204824045470033;3.85769725486747
Palencia;4.656689478829811;23.825269902345596;48.50769983938985;1.2324896290506824
Pontevedra;3.6229160514376226;10.627273896238474;41.39606828685319;6.784625624966909
Rioja, La;4.419237127381597;21.516279994132486;53.58793941315365;1.3646709221938835
Salamanca;4.042366773596371;20.653088090101292;47.84396419676341;2.5345051051709917
Segovia;4.45177769668893;17.405169389107638;38.89750886904994;3.1515340532532847
Sevilla;12.301336612791774;7.554504934280791;54.44852059209179;6.091692509248011
Soria;9.921941376380628;24.94570055189603;38.87484422289479;1.3328585840602931
Tarragona;5.281246455102047;17.25867730296315;45.729102616579425;4.543446470205327
Teruel;5.284367535238234;24.337567913706838;35.559338482710345;2.4627916411451665
Toledo;4.016496934231516;12.557096851280766;42.1684854967739;6.572595787293603
Valencia/València;3.6176838115770105;12.727179919780134;55.72567277494647;3.5149250323055554
Valladolid;3.979309406052906;16.35781886767034;60.80327371930888;1.5910545283082418
Zamora;3.3244380717197064;21.359809780862413;38.75522138680033;2.328899171004434
Zaragoza;6.7367665658089955;11.41837333279392;60.180140088525356;2.7300528320206547
Ávila;4.210416883251898;27.36773540684048;37.43537252758117;1.903493518351585
