"A�o";"Mes";"Castilla-La Mancha";"Espa�a";"Albacete";"Ciudad Real";"Cuenca";"Guadalajara";"Toledo"
"2000";"Total";2100944.060000001;"-";406793.894;524903.4110000001;180793.219;245641.667;742811.869
"2000";" Enero";276832.795;"-";44382.485;84055.66800000001;20737.929;35525.741;92130.97200000001
"2000";" Febrero";208799.004;"-";48189.879;38999.807;18601.058;18565.008;84443.25200000001
"2000";" Marzo";253960.631;"-";43310.071;75765.527;19314.888;31448.724;84121.421
"2000";" Abril";125307.777;"-";28232.132;23348.46;11482.412;11867.874;50376.899
"2000";" Mayo";199010.206;"-";35245.173;58877.30800000001;15737.45;26967.29;62182.985
"2000";" Junio";132517.046;"-";28057.38;25373.026;13681.975;11682.826;53721.839
"2000";" Julio";148581.374;"-";27620.77;45172.029;12842.616;20724.933;42221.026
"2000";" Agosto";138934.187;"-";27897.242;26163.772;12221.837;16422.8;56228.536
"2000";" Septiembre";160520.554;"-";28564.976;44982.895;13887.26;20509.294;52576.129
"2000";" Octubre";124188.861;"-";27301.388;22821.025;12467.258;13670.873;47928.317
"2000";" Noviembre";184298.682;"-";33031.55;53999.167;15287.066;24308.218;57672.681
"2000";" Diciembre";147992.943;"-";34960.848;25344.727;14531.47;13948.086;59207.812
"2001";"Total";2240347.365000001;"-";427716.4840000001;550174.074;195232.524;263052.687;804171.596
"2001";" Enero";295492.767;"-";47797.465;85281.12700000001;23062.583;36161.259;103190.333
"2001";" Febrero";203177.613;"-";44969.811;38020.176;18876.447;19435.607;81875.572
"2001";" Marzo";274144.166;"-";46252.515;81448.67600000001;20851.398;34797.127;90794.45
"2001";" Abril";156965.769;"-";35245.173;29384.306;15602.349;14696.917;62037.02400000001
"2001";" Mayo";200794.715;"-";35907.327;58934.659;17262.399;28041.155;60649.175
"2001";" Junio";134330.114;"-";28170.475;24938.163;13262.463;13077.144;54881.869
"2001";" Julio";167317.373;"-";32149.8;47819.061;12919.387;23914.333;50514.792
"2001";" Agosto";139328.578;"-";26953.569;25901.501;12139.756;12891.397;61442.355
"2001";" Septiembre";163106.408;"-";28993.217;48668.463;13564.085;23560.462;48320.181
"2001";" Octubre";146047.536;"-";30344.505;25607.522;14940.557;15585.236;59569.716
"2001";" Noviembre";184236.776;"-";32118.307;54321.43300000001;16124.286;24554.678;57118.072
"2001";" Diciembre";175405.55;"-";38814.32;29848.987;16626.814;16337.372;73778.057
"2002";"Total";2409181.011;"-";454664.305;600677.0269999999;207895.419;280214.208;865730.0520000001
"2002";" Enero";326542.097;"-";57511.894;99840.928;26095.882;41371.435;101721.958
"2002";" Febrero";256978.954;"-";53651.059;43422.369;22192.448;24612.275;113100.803
"2002";" Marzo";245535.367;"-";39143.304;79344.427;19279.237;30089.679;77678.72
"2002";" Abril";222557.333;"-";48790.008;42093.667;20793.481;19764.75;91115.427
"2002";" Mayo";217958.363;"-";39727.944;66001.63100000001;19430.446;30780.234;62018.108
"2002";" Junio";136153.925;"-";31733.55;25147.598;12663.417;13421.778;53187.582
"2002";" Julio";180892.418;"-";30223.505;52028.812;13590.026;23717.24;61332.835
"2002";" Agosto";136977.057;"-";28072.551;25900.268;12742.711;13094.377;57167.15
"2002";" Septiembre";167588.729;"-";26428.724;49775.061;13966.184;24801.886;52616.874
"2002";" Octubre";154678.975;"-";33020.954;27745.327;16494.903;16705.424;60712.367
"2002";" Noviembre";181186.164;"-";33303.131;54535.165;14464.147;24651.063;54232.658
"2002";" Diciembre";182131.629;"-";33057.681;34841.774;16182.537;17204.067;80845.57000000001
"2003";"Total";2579439.315;"-";482701.322;648920.2570000002;218794.832;299805.8650000001;929217.0390000001
"2003";" Enero";313089.529;"-";51880.221;93625.863;25336.788;39650.185;102596.472
"2003";" Febrero";269234.747;"-";57612.309;50643.248;23444.583;23850.958;113683.649
"2003";" Marzo";292730.895;"-";51224.331;92471.10000000001;22979.132;37754.617;88301.715
"2003";" Abril";210023.208;"-";43856.80800000001;39959.955;19438.509;18395.516;88372.42
"2003";" Mayo";229140.335;"-";41302.949;68191.47900000001;18595.919;31243.338;69806.64999999999
"2003";" Junio";154740.362;"-";33016.848;29579.606;15168.883;15074.219;61900.806
"2003";" Julio";183589.295;"-";32133.693;54368.851;14496.987;24394.413;58195.351
"2003";" Agosto";152549.505;"-";28376.837;27952.248;12731.944;15895.177;67593.299
"2003";" Septiembre";202379.712;"-";34035.145;59581.084;16129.682;27029.212;65604.58900000001
"2003";" Octubre";160229.752;"-";33170.286;29266.327;14934.363;18081.545;64777.231
