Total Nacional	Comunidades y Ciudades Autónomas	Producto consumido	año	Total
Total Nacional		Electricidad	2022	14.319.055
Total Nacional		Electricidad	2021	8.892.228
Total Nacional		Electricidad	2019	6.367.976
Total Nacional		Electricidad	2017	6.227.459
Total Nacional		Electricidad	2015	6.177.084
Total Nacional	01 Andalucía	Electricidad	2022	1.653.989
Total Nacional	01 Andalucía	Electricidad	2021	941.599
Total Nacional	01 Andalucía	Electricidad	2019	637.486
Total Nacional	01 Andalucía	Electricidad	2017	603.104
Total Nacional	01 Andalucía	Electricidad	2015	572.742
Total Nacional	02 Aragón	Electricidad	2022	736.139
Total Nacional	02 Aragón	Electricidad	2021	477.683
Total Nacional	02 Aragón	Electricidad	2019	327.440
Total Nacional	02 Aragón	Electricidad	2017	294.327
Total Nacional	02 Aragón	Electricidad	2015	317.739
Total Nacional	03 Asturias, Principado de	Electricidad	2022	936.136
Total Nacional	03 Asturias, Principado de	Electricidad	2021	543.877
Total Nacional	03 Asturias, Principado de	Electricidad	2019	316.955
Total Nacional	03 Asturias, Principado de	Electricidad	2017	304.714
Total Nacional	03 Asturias, Principado de	Electricidad	2015	327.559
Total Nacional	04 Balears, Illes	Electricidad	2022	25.137
Total Nacional	04 Balears, Illes	Electricidad	2021	12.505
Total Nacional	04 Balears, Illes	Electricidad	2019	16.421
Total Nacional	04 Balears, Illes	Electricidad	2017	14.537
Total Nacional	04 Balears, Illes	Electricidad	2015	14.761
Total Nacional	05 Canarias	Electricidad	2022	55.808
Total Nacional	05 Canarias	Electricidad	2021	38.048
Total Nacional	05 Canarias	Electricidad	2019	34.048
Total Nacional	05 Canarias	Electricidad	2017	31.958
Total Nacional	05 Canarias	Electricidad	2015	32.801
Total Nacional	06 Cantabria	Electricidad	2022	377.849
Total Nacional	06 Cantabria	Electricidad	2021	233.187
Total Nacional	06 Cantabria	Electricidad	2019	142.352
Total Nacional	06 Cantabria	Electricidad	2017	152.876
Total Nacional	06 Cantabria	Electricidad	2015	154.383
Total Nacional	07 Castilla y León	Electricidad	2022	873.255
Total Nacional	07 Castilla y León	Electricidad	2021	522.358
Total Nacional	07 Castilla y León	Electricidad	2019	422.607
Total Nacional	07 Castilla y León	Electricidad	2017	379.885
Total Nacional	07 Castilla y León	Electricidad	2015	380.329
Total Nacional	08 Castilla - La Mancha	Electricidad	2022	699.022
Total Nacional	08 Castilla - La Mancha	Electricidad	2021	384.581
Total Nacional	08 Castilla - La Mancha	Electricidad	2019	285.015
Total Nacional	08 Castilla - La Mancha	Electricidad	2017	255.498
Total Nacional	08 Castilla - La Mancha	Electricidad	2015	240.499
Total Nacional	09 Cataluña	Electricidad	2022	3.059.538
Total Nacional	09 Cataluña	Electricidad	2021	1.889.476
Total Nacional	09 Cataluña	Electricidad	2019	1.414.503
Total Nacional	09 Cataluña	Electricidad	2017	1.438.588
Total Nacional	09 Cataluña	Electricidad	2015	1.454.723
Total Nacional	10 Comunitat Valenciana	Electricidad	2022	1.556.787
Total Nacional	10 Comunitat Valenciana	Electricidad	2021	947.187
Total Nacional	10 Comunitat Valenciana	Electricidad	2019	668.364
Total Nacional	10 Comunitat Valenciana	Electricidad	2017	646.801
Total Nacional	10 Comunitat Valenciana	Electricidad	2015	622.121
Total Nacional	11 Extremadura	Electricidad	2022	257.564
Total Nacional	11 Extremadura	Electricidad	2021	154.976
Total Nacional	11 Extremadura	Electricidad	2019	93.373
Total Nacional	11 Extremadura	Electricidad	2017	81.367
Total Nacional	11 Extremadura	Electricidad	2015	73.117
Total Nacional	12 Galicia	Electricidad	2022	955.804
Total Nacional	12 Galicia	Electricidad	2021	779.525
Total Nacional	12 Galicia	Electricidad	2019	564.851
Total Nacional	12 Galicia	Electricidad	2017	542.677
Total Nacional	12 Galicia	Electricidad	2015	551.790
Total Nacional	13 Madrid, Comunidad de	Electricidad	2022	580.695
Total Nacional	13 Madrid, Comunidad de	Electricidad	2021	376.289
