Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Españoles/Extranjeros;Edad (grupos quinquenales);Sexo;Periodo;Total
Total Nacional;;;Total;Todas las edades;Total;1 de enero de 2022;47.475.420
Total Nacional;;;Total;Todas las edades;Total;1 de enero de 2021;47.385.107
Total Nacional;;;Total;Todas las edades;Total;1 de enero de 2020;47.450.795
Total Nacional;;;Total;Todas las edades;Total;1 de enero de 2019;47.026.208
Total Nacional;;;Total;Todas las edades;Total;1 de enero de 2018;46.722.980
Total Nacional;;;Total;Todas las edades;Total;1 de enero de 2017;46.572.132
Total Nacional;;;Total;Todas las edades;Total;1 de enero de 2016;46.557.008
Total Nacional;;;Total;Todas las edades;Total;1 de enero de 2015;46.624.382
Total Nacional;;;Total;De 0 a 4 años;Total;1 de enero de 2022;1.809.768
Total Nacional;;;Total;De 0 a 4 años;Total;1 de enero de 2021;1.887.689
Total Nacional;;;Total;De 0 a 4 años;Total;1 de enero de 2020;1.981.692
Total Nacional;;;Total;De 0 a 4 años;Total;1 de enero de 2019;2.038.663
Total Nacional;;;Total;De 0 a 4 años;Total;1 de enero de 2018;2.079.174
Total Nacional;;;Total;De 0 a 4 años;Total;1 de enero de 2017;2.126.890
Total Nacional;;;Total;De 0 a 4 años;Total;1 de enero de 2016;2.174.491
Total Nacional;;;Total;De 0 a 4 años;Total;1 de enero de 2015;2.230.847
Total Nacional;;;Total;De 5 a 9 años;Total;1 de enero de 2022;2.236.911
Total Nacional;;;Total;De 5 a 9 años;Total;1 de enero de 2021;2.275.778
Total Nacional;;;Total;De 5 a 9 años;Total;1 de enero de 2020;2.325.443
Total Nacional;;;Total;De 5 a 9 años;Total;1 de enero de 2019;2.355.494
Total Nacional;;;Total;De 5 a 9 años;Total;1 de enero de 2018;2.421.550
Total Nacional;;;Total;De 5 a 9 años;Total;1 de enero de 2017;2.452.597
Total Nacional;;;Total;De 5 a 9 años;Total;1 de enero de 2016;2.477.473
Total Nacional;;;Total;De 5 a 9 años;Total;1 de enero de 2015;2.482.175
Total Nacional;;;Total;De 10 a 14 años  ;Total;1 de enero de 2022;2.517.373
Total Nacional;;;Total;De 10 a 14 años  ;Total;1 de enero de 2021;2.526.140
Total Nacional;;;Total;De 10 a 14 años  ;Total;1 de enero de 2020;2.523.498
