Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Municipios;Consumo eléctrico;Total
Total Nacional;;;;Viviendas totales;26.623.708
Total Nacional;;;;Viviendas vacías;3.837.328
Total Nacional;;;;Mediana consumo anual;2.196
Total Nacional;;;;Viviendas con bajo consumo;943.924
Total Nacional;;;;Viviendas de uso esporádico;2.514.511
Total Nacional;;;;Viviendas de uso esporádico (entre 251 y 500 kwh);1.266.122
Total Nacional;;;;Viviendas de uso esporádico (entre 501 y 750 kwh);1.248.389
Total Nacional;;;;Viviendas con cosumo entre 751 y 1.000 kwh;1.329.191
Total Nacional;;;;Viviendas con cosumo entre 1.001 y 2.000 kwh;5.950.705
Total Nacional;;;;Viviendas con cosumo entre 2.001 y 3.000 kwh;4.965.393
Total Nacional;;;;Viviendas con cosumo entre 3.001 y 4.000 kwh;3.022.218
Total Nacional;;;;Viviendas con cosumo entre 4.001 y 5.000 kwh;1.649.265
Total Nacional;;;;Viviendas con cosumo entre 5.001 y 6.000 kwh;894.804
Total Nacional;;;;Viviendas con cosumo entre 6.001 y 7.000 kwh;504.256
Total Nacional;;;;Viviendas con cosumo entre 7.001 y 8.000 kwh;301.313
Total Nacional;;;;Viviendas con cosumo entre 8.001 y 9.000 kwh;190.638
Total Nacional;;;;Viviendas con cosumo entre 9.001 y 10.000 kwh;128.538
Total Nacional;;;;Viviendas con consumo mayor de 10.000 kwh;391.624
Total Nacional;01 Andalucía;04 Almería;;Viviendas totales;433.763
Total Nacional;01 Andalucía;04 Almería;;Viviendas vacías;73.028
Total Nacional;01 Andalucía;04 Almería;;Mediana consumo anual;2.333
Total Nacional;01 Andalucía;04 Almería;;Viviendas con bajo consumo;16.125
Total Nacional;01 Andalucía;04 Almería;;Viviendas de uso esporádico;45.695
Total Nacional;01 Andalucía;04 Almería;;Viviendas de uso esporádico (entre 251 y 500 kwh);23.258
Total Nacional;01 Andalucía;04 Almería;;Viviendas de uso esporádico (entre 501 y 750 kwh);22.437
Total Nacional;01 Andalucía;04 Almería;;Viviendas con cosumo entre 751 y 1.000 kwh;21.075
Total Nacional;01 Andalucía;04 Almería;;Viviendas con cosumo entre 1.001 y 2.000 kwh;80.183
Total Nacional;01 Andalucía;04 Almería;;Viviendas con cosumo entre 2.001 y 3.000 kwh;71.363
Total Nacional;01 Andalucía;04 Almería;;Viviendas con cosumo entre 3.001 y 4.000 kwh;52.873
Total Nacional;01 Andalucía;04 Almería;;Viviendas con cosumo entre 4.001 y 5.000 kwh;32.584
Total Nacional;01 Andalucía;04 Almería;;Viviendas con cosumo entre 5.001 y 6.000 kwh;17.619
Total Nacional;01 Andalucía;04 Almería;;Viviendas con cosumo entre 6.001 y 7.000 kwh;9.271
Total Nacional;01 Andalucía;04 Almería;;Viviendas con cosumo entre 7.001 y 8.000 kwh;4.862
Total Nacional;01 Andalucía;04 Almería;;Viviendas con cosumo entre 8.001 y 9.000 kwh;2.718
Total Nacional;01 Andalucía;04 Almería;;Viviendas con cosumo entre 9.001 y 10.000 kwh;1.712
Total Nacional;01 Andalucía;04 Almería;;Viviendas con consumo mayor de 10.000 kwh;4.655
Total Nacional;01 Andalucía;11 Cádiz;;Viviendas totales;648.306
Total Nacional;01 Andalucía;11 Cádiz;;Viviendas vacías;70.164
Total Nacional;01 Andalucía;11 Cádiz;;Mediana consumo anual;2.232
Total Nacional;01 Andalucía;11 Cádiz;;Viviendas con bajo consumo;18.119
Total Nacional;01 Andalucía;11 Cádiz;;Viviendas de uso esporádico;64.017
Total Nacional;01 Andalucía;11 Cádiz;;Viviendas de uso esporádico (entre 251 y 500 kwh);30.656
Total Nacional;01 Andalucía;11 Cádiz;;Viviendas de uso esporádico (entre 501 y 750 kwh);33.361
Total Nacional;01 Andalucía;11 Cádiz;;Viviendas con cosumo entre 751 y 1.000 kwh;34.399
Total Nacional;01 Andalucía;11 Cádiz;;Viviendas con cosumo entre 1.001 y 2.000 kwh;147.254
Total Nacional;01 Andalucía;11 Cádiz;;Viviendas con cosumo entre 2.001 y 3.000 kwh;136.273
Total Nacional;01 Andalucía;11 Cádiz;;Viviendas con cosumo entre 3.001 y 4.000 kwh;85.026
Total Nacional;01 Andalucía;11 Cádiz;;Viviendas con cosumo entre 4.001 y 5.000 kwh;42.557
Total Nacional;01 Andalucía;11 Cádiz;;Viviendas con cosumo entre 5.001 y 6.000 kwh;20.878
Total Nacional;01 Andalucía;11 Cádiz;;Viviendas con cosumo entre 6.001 y 7.000 kwh;10.697
Total Nacional;01 Andalucía;11 Cádiz;;Viviendas con cosumo entre 7.001 y 8.000 kwh;6.013
Total Nacional;01 Andalucía;11 Cádiz;;Viviendas con cosumo entre 8.001 y 9.000 kwh;3.506
Total Nacional;01 Andalucía;11 Cádiz;;Viviendas con cosumo entre 9.001 y 10.000 kwh;2.369
Total Nacional;01 Andalucía;11 Cádiz;;Viviendas con consumo mayor de 10.000 kwh;7.034
Total Nacional;01 Andalucía;14 Córdoba;;Viviendas totales;414.025
Total Nacional;01 Andalucía;14 Córdoba;;Viviendas vacías;53.336
Total Nacional;01 Andalucía;14 Córdoba;;Mediana consumo anual;2.969
Total Nacional;01 Andalucía;14 Córdoba;;Viviendas con bajo consumo;10.696
Total Nacional;01 Andalucía;14 Córdoba;;Viviendas de uso esporádico;30.208
Total Nacional;01 Andalucía;14 Córdoba;;Viviendas de uso esporádico (entre 251 y 500 kwh);15.705
Total Nacional;01 Andalucía;14 Córdoba;;Viviendas de uso esporádico (entre 501 y 750 kwh);14.503
Total Nacional;01 Andalucía;14 Córdoba;;Viviendas con cosumo entre 751 y 1.000 kwh;14.353
Total Nacional;01 Andalucía;14 Córdoba;;Viviendas con cosumo entre 1.001 y 2.000 kwh;62.809
Total Nacional;01 Andalucía;14 Córdoba;;Viviendas con cosumo entre 2.001 y 3.000 kwh;69.761
Total Nacional;01 Andalucía;14 Córdoba;;Viviendas con cosumo entre 3.001 y 4.000 kwh;61.795
Total Nacional;01 Andalucía;14 Córdoba;;Viviendas con cosumo entre 4.001 y 5.000 kwh;44.054
Total Nacional;01 Andalucía;14 Córdoba;;Viviendas con cosumo entre 5.001 y 6.000 kwh;27.478
Total Nacional;01 Andalucía;14 Córdoba;;Viviendas con cosumo entre 6.001 y 7.000 kwh;15.728
Total Nacional;01 Andalucía;14 Córdoba;;Viviendas con cosumo entre 7.001 y 8.000 kwh;9.010
Total Nacional;01 Andalucía;14 Córdoba;;Viviendas con cosumo entre 8.001 y 9.000 kwh;4.938
Total Nacional;01 Andalucía;14 Córdoba;;Viviendas con cosumo entre 9.001 y 10.000 kwh;2.977
Total Nacional;01 Andalucía;14 Córdoba;;Viviendas con consumo mayor de 10.000 kwh;6.882
Total Nacional;01 Andalucía;18 Granada;;Viviendas totales;573.692
Total Nacional;01 Andalucía;18 Granada;;Viviendas vacías;90.538
Total Nacional;01 Andalucía;18 Granada;;Mediana consumo anual;2.356
Total Nacional;01 Andalucía;18 Granada;;Viviendas con bajo consumo;22.156
Total Nacional;01 Andalucía;18 Granada;;Viviendas de uso esporádico;57.231
Total Nacional;01 Andalucía;18 Granada;;Viviendas de uso esporádico (entre 251 y 500 kwh);29.553
Total Nacional;01 Andalucía;18 Granada;;Viviendas de uso esporádico (entre 501 y 750 kwh);27.678
Total Nacional;01 Andalucía;18 Granada;;Viviendas con cosumo entre 751 y 1.000 kwh;26.848
Total Nacional;01 Andalucía;18 Granada;;Viviendas con cosumo entre 1.001 y 2.000 kwh;109.417
Total Nacional;01 Andalucía;18 Granada;;Viviendas con cosumo entre 2.001 y 3.000 kwh;96.712
Total Nacional;01 Andalucía;18 Granada;;Viviendas con cosumo entre 3.001 y 4.000 kwh;69.667
Total Nacional;01 Andalucía;18 Granada;;Viviendas con cosumo entre 4.001 y 5.000 kwh;42.873
Total Nacional;01 Andalucía;18 Granada;;Viviendas con cosumo entre 5.001 y 6.000 kwh;24.254
Total Nacional;01 Andalucía;18 Granada;;Viviendas con cosumo entre 6.001 y 7.000 kwh;12.981
Total Nacional;01 Andalucía;18 Granada;;Viviendas con cosumo entre 7.001 y 8.000 kwh;7.235
Total Nacional;01 Andalucía;18 Granada;;Viviendas con cosumo entre 8.001 y 9.000 kwh;4.267
Total Nacional;01 Andalucía;18 Granada;;Viviendas con cosumo entre 9.001 y 10.000 kwh;2.685
Total Nacional;01 Andalucía;18 Granada;;Viviendas con consumo mayor de 10.000 kwh;6.828
Total Nacional;01 Andalucía;21 Huelva;;Viviendas totales;320.045
Total Nacional;01 Andalucía;21 Huelva;;Viviendas vacías;41.907
Total Nacional;01 Andalucía;21 Huelva;;Mediana consumo anual;2.023
Total Nacional;01 Andalucía;21 Huelva;;Viviendas con bajo consumo;13.853
Total Nacional;01 Andalucía;21 Huelva;;Viviendas de uso esporádico;44.678
Total Nacional;01 Andalucía;21 Huelva;;Viviendas de uso esporádico (entre 251 y 500 kwh);22.312
Total Nacional;01 Andalucía;21 Huelva;;Viviendas de uso esporádico (entre 501 y 750 kwh);22.366
Total Nacional;01 Andalucía;21 Huelva;;Viviendas con cosumo entre 751 y 1.000 kwh;19.322
Total Nacional;01 Andalucía;21 Huelva;;Viviendas con cosumo entre 1.001 y 2.000 kwh;66.810
Total Nacional;01 Andalucía;21 Huelva;;Viviendas con cosumo entre 2.001 y 3.000 kwh;57.140
