Provincias;Tipo de núcleo familiar;Número de hijos;Total
Total Nacional;Total;0 hijos conviviendo;4.484.568
Total Nacional;Total;1 hijo conviviendo;4.914.044
Total Nacional;Total;2 o más hijos conviviendo;4.368.298
Total Nacional;Total;0 hijos conviviendo menores de 25 años;6.973.068
Total Nacional;Total;1 hijo conviviendo menor de 25 años;3.349.425
Total Nacional;Total;2 hijos o más conviviendo menores de 25 años;3.444.418
Total Nacional;Total;Total;13.766.910
Total Nacional;Pareja casada, con o sin hijos convivientes;0 hijos conviviendo;3.565.596
Total Nacional;Pareja casada, con o sin hijos convivientes;1 hijo conviviendo;2.695.934
Total Nacional;Pareja casada, con o sin hijos convivientes;2 o más hijos conviviendo;3.231.524
Total Nacional;Pareja casada, con o sin hijos convivientes;0 hijos conviviendo menores de 25 años;4.925.231
Total Nacional;Pareja casada, con o sin hijos convivientes;1 hijo conviviendo menor de 25 años;1.973.703
Total Nacional;Pareja casada, con o sin hijos convivientes;2 hijos o más conviviendo menores de 25 años;2.594.121
Total Nacional;Pareja casada, con o sin hijos convivientes;Total;9.493.054
Total Nacional;Pareja no casada, con o sin hijos convivientes;0 hijos conviviendo;918.972
Total Nacional;Pareja no casada, con o sin hijos convivientes;1 hijo conviviendo;498.595
Total Nacional;Pareja no casada, con o sin hijos convivientes;2 o más hijos conviviendo;389.908
Total Nacional;Pareja no casada, con o sin hijos convivientes;0 hijos conviviendo menores de 25 años;948.603
Total Nacional;Pareja no casada, con o sin hijos convivientes;1 hijo conviviendo menor de 25 años;485.792
Total Nacional;Pareja no casada, con o sin hijos convivientes;2 hijos o más conviviendo menores de 25 años;373.079
Total Nacional;Pareja no casada, con o sin hijos convivientes;Total;1.807.475
Total Nacional;Padre sólo con hijos convivientes;0 hijos conviviendo;0
Total Nacional;Padre sólo con hijos convivientes;1 hijo conviviendo;331.200
Total Nacional;Padre sólo con hijos convivientes;2 o más hijos conviviendo;136.125
Total Nacional;Padre sólo con hijos convivientes;0 hijos conviviendo menores de 25 años;200.550
Total Nacional;Padre sólo con hijos convivientes;1 hijo conviviendo menor de 25 años;183.221
Total Nacional;Padre sólo con hijos convivientes;2 hijos o más conviviendo menores de 25 años;83.554
Total Nacional;Padre sólo con hijos convivientes;Total;467.325
Total Nacional;Madre sóla con hijos convivientes;0 hijos conviviendo;0
