;Año;Mes;Albacete;Ciudad Real;Cuenca;Guadalajara;Toledo
1;2000;Enero;44382.485;84055.668;20737.929;35525.741;92130.972
2;2000;Febrero;48189.879;38999.807;18601.058;18565.008;84443.25200000001
3;2000;Marzo;43310.071;75765.527;19314.888;31448.724;84121.421
4;2000;Abril;28232.132;23348.46;11482.412;11867.874;50376.899
5;2000;Mayo;35245.173;58877.30800000001;15737.45;26967.29;62182.985
6;2000;Junio;28057.38;25373.026;13681.975;11682.826;53721.839
7;2000;Julio;27620.77;45172.029;12842.616;20724.933;42221.026
8;2000;Agosto;27897.242;26163.772;12221.837;16422.8;56228.536
9;2000;Septiembre;28564.976;44982.895;13887.26;20509.294;52576.129
10;2000;Octubre;27301.388;22821.025;12467.258;13670.873;47928.317
11;2000;Noviembre;33031.55;53999.167;15287.066;24308.218;57672.681
12;2000;Diciembre;34960.848;25344.727;14531.47;13948.086;59207.812
14;2001;Enero;47797.465;85281.12700000001;23062.583;36161.259;103190.333
15;2001;Febrero;44969.811;38020.176;18876.447;19435.607;81875.572
16;2001;Marzo;46252.515;81448.676;20851.398;34797.127;90794.45
17;2001;Abril;35245.173;29384.306;15602.349;14696.917;62037.02400000001
18;2001;Mayo;35907.327;58934.659;17262.399;28041.155;60649.175
19;2001;Junio;28170.475;24938.163;13262.463;13077.144;54881.869
20;2001;Julio;32149.8;47819.061;12919.387;23914.333;50514.792
21;2001;Agosto;26953.569;25901.501;12139.756;12891.397;61442.355
22;2001;Septiembre;28993.217;48668.463;13564.085;23560.462;48320.181
23;2001;Octubre;30344.505;25607.522;14940.557;15585.236;59569.716
24;2001;Noviembre;32118.307;54321.43300000001;16124.286;24554.678;57118.072
25;2001;Diciembre;38814.32;29848.987;16626.814;16337.372;73778.057
27;2002;Enero;57511.894;99840.928;26095.882;41371.435;101721.958
28;2002;Febrero;53651.059;43422.369;22192.448;24612.275;113100.803
29;2002;Marzo;39143.304;79344.427;19279.237;30089.679;77678.72
