Provincias;Ingresos netos;Dispone de dispositivo de energía renovable;Total
Albacete;3.000 euros o más;No;13390
Albacete;3.000 euros o más;Si;1344
Albacete;De 1.000 euros a menos de 1.500 euros;No;38883
Albacete;De 1.000 euros a menos de 1.500 euros;Si;2260
Albacete;De 1.500 euros a menos de 2.000 euros;No;22329
Albacete;De 1.500 euros a menos de 2.000 euros;Si;956
Albacete;De 2.000 euros a menos de 3.000 euros;No;24122
Albacete;De 2.000 euros a menos de 3.000 euros;Si;1080
Albacete;Menos de 1.000 euros;No;47531
Albacete;Menos de 1.000 euros;Si;954
Alicante/Alacant;3.000 euros o más;No;69103
Alicante/Alacant;3.000 euros o más;Si;6930
Alicante/Alacant;De 1.000 euros a menos de 1.500 euros;No;200575
Alicante/Alacant;De 1.000 euros a menos de 1.500 euros;Si;6378
Alicante/Alacant;De 1.500 euros a menos de 2.000 euros;No;116425
Alicante/Alacant;De 1.500 euros a menos de 2.000 euros;Si;3754
Alicante/Alacant;De 2.000 euros a menos de 3.000 euros;No;143550
Alicante/Alacant;De 2.000 euros a menos de 3.000 euros;Si;9587
Alicante/Alacant;Menos de 1.000 euros;No;205592
Alicante/Alacant;Menos de 1.000 euros;Si;4274
Almería;3.000 euros o más;No;21571
Almería;3.000 euros o más;Si;3640
Almería;De 1.000 euros a menos de 1.500 euros;No;71821
Almería;De 1.000 euros a menos de 1.500 euros;Si;3141
Almería;De 1.500 euros a menos de 2.000 euros;No;38820
Almería;De 1.500 euros a menos de 2.000 euros;Si;3911
Almería;De 2.000 euros a menos de 3.000 euros;No;48703
Almería;De 2.000 euros a menos de 3.000 euros;Si;3940
Almería;Menos de 1.000 euros;No;67187
Almería;Menos de 1.000 euros;Si;3224
Araba/Álava;3.000 euros o más;No;24012
Araba/Álava;3.000 euros o más;Si;2063
Araba/Álava;De 1.000 euros a menos de 1.500 euros;No;26352
Araba/Álava;De 1.000 euros a menos de 1.500 euros;Si;2774
Araba/Álava;De 1.500 euros a menos de 2.000 euros;No;24021
Araba/Álava;De 1.500 euros a menos de 2.000 euros;Si;3311
Araba/Álava;De 2.000 euros a menos de 3.000 euros;No;34124
Araba/Álava;De 2.000 euros a menos de 3.000 euros;Si;5127
Araba/Álava;Menos de 1.000 euros;No;17874
Araba/Álava;Menos de 1.000 euros;Si;1466
Asturias;3.000 euros o más;No;54301
Asturias;3.000 euros o más;Si;4320
Asturias;De 1.000 euros a menos de 1.500 euros;No;98800
Asturias;De 1.000 euros a menos de 1.500 euros;Si;4290
Asturias;De 1.500 euros a menos de 2.000 euros;No;77533
Asturias;De 1.500 euros a menos de 2.000 euros;Si;3445
Asturias;De 2.000 euros a menos de 3.000 euros;No;102936
Asturias;De 2.000 euros a menos de 3.000 euros;Si;6406
Asturias;Menos de 1.000 euros;No;98014
Asturias;Menos de 1.000 euros;Si;4404
Badajoz;3.000 euros o más;No;22213
Badajoz;3.000 euros o más;Si;1407
Badajoz;De 1.000 euros a menos de 1.500 euros;No;65286
Badajoz;De 1.000 euros a menos de 1.500 euros;Si;2915
Badajoz;De 1.500 euros a menos de 2.000 euros;No;39455
Badajoz;De 1.500 euros a menos de 2.000 euros;Si;2068
Badajoz;De 2.000 euros a menos de 3.000 euros;No;37662
Badajoz;De 2.000 euros a menos de 3.000 euros;Si;2875
Badajoz;Menos de 1.000 euros;No;92519
Badajoz;Menos de 1.000 euros;Si;2246
Barcelona;3.000 euros o más;No;419691
Barcelona;3.000 euros o más;Si;35301
Barcelona;De 1.000 euros a menos de 1.500 euros;No;430834
Barcelona;De 1.000 euros a menos de 1.500 euros;Si;24531
Barcelona;De 1.500 euros a menos de 2.000 euros;No;371718
Barcelona;De 1.500 euros a menos de 2.000 euros;Si;21282
Barcelona;De 2.000 euros a menos de 3.000 euros;No;529131
Barcelona;De 2.000 euros a menos de 3.000 euros;Si;34103
Barcelona;Menos de 1.000 euros;No;350511
Barcelona;Menos de 1.000 euros;Si;22480
Bizkaia;3.000 euros o más;No;91655
Bizkaia;3.000 euros o más;Si;6669
Bizkaia;De 1.000 euros a menos de 1.500 euros;No;87926
Bizkaia;De 1.000 euros a menos de 1.500 euros;Si;5506
Bizkaia;De 1.500 euros a menos de 2.000 euros;No;79245
Bizkaia;De 1.500 euros a menos de 2.000 euros;Si;3708
Bizkaia;De 2.000 euros a menos de 3.000 euros;No;126043
Bizkaia;De 2.000 euros a menos de 3.000 euros;Si;5704
Bizkaia;Menos de 1.000 euros;No;73348
Bizkaia;Menos de 1.000 euros;Si;2870
Burgos;3.000 euros o más;No;15009
Burgos;3.000 euros o más;Si;1858
Burgos;De 1.000 euros a menos de 1.500 euros;No;36925
Burgos;De 1.000 euros a menos de 1.500 euros;Si;1396
Burgos;De 1.500 euros a menos de 2.000 euros;No;25925
Burgos;De 1.500 euros a menos de 2.000 euros;Si;1541
Burgos;De 2.000 euros a menos de 3.000 euros;No;33120
Burgos;De 2.000 euros a menos de 3.000 euros;Si;1497
