Provincias;Edad (grupos quinquenales);Total
Almería;De 0 a 4 años;36.360
Almería;De 5 a 9 años;41.033
Almería;De 10 a 14 años  ;43.411
Almería;De 15 a 19 años  ;40.722
Almería;De 20 a 24 años;41.532
Almería;De 25 a 29 años;44.748
Almería;De 30 a 34 años;50.076
Almería;De 35 a 39 años;55.142
Almería;De 40 a 44 años;63.406
Almería;De 45 a 49 años;60.897
Almería;De 50 a 54 años;54.931
Almería;De 55 a 59 años;50.288
Almería;De 60 a 64 años;43.964
Almería;De 65 a 69 años;34.626
Almería;De 70 a 74 años  ;28.748
Almería;De 75 a 79 años  ;21.359
Almería;De 80 a 84 años  ;13.834
Almería;De 85 a 89 años  ;10.096
Almería;De 90 a 94 años  ;4.146
Almería;De 95 a 99 años  ;1.000
Almería;100 y más años;215
Cádiz;De 0 a 4 años;48.518
Cádiz;De 5 a 9 años;61.991
Cádiz;De 10 a 14 años  ;72.208
Cádiz;De 15 a 19 años  ;73.357
Cádiz;De 20 a 24 años;65.816
Cádiz;De 25 a 29 años;65.176
Cádiz;De 30 a 34 años;73.098
Cádiz;De 35 a 39 años;83.985
Cádiz;De 40 a 44 años;100.816
Cádiz;De 45 a 49 años;104.407
Cádiz;De 50 a 54 años;101.224
Cádiz;De 55 a 59 años;93.956
Cádiz;De 60 a 64 años;82.758
Cádiz;De 65 a 69 años;66.053
Cádiz;De 70 a 74 años  ;54.024
Cádiz;De 75 a 79 años  ;43.882
Cádiz;De 80 a 84 años  ;27.859
Cádiz;De 85 a 89 años  ;18.693
Cádiz;De 90 a 94 años  ;7.163
Cádiz;De 95 a 99 años  ;1.501
Cádiz;100 y más años;296
Córdoba;De 0 a 4 años;29.734
Córdoba;De 5 a 9 años;35.847
Córdoba;De 10 a 14 años  ;40.899
Córdoba;De 15 a 19 años  ;42.045
Córdoba;De 20 a 24 años;41.463
Córdoba;De 25 a 29 años;42.574
Córdoba;De 30 a 34 años;45.406
Córdoba;De 35 a 39 años;48.677
Córdoba;De 40 a 44 años;56.398
Córdoba;De 45 a 49 años;58.465
Córdoba;De 50 a 54 años;60.112
Córdoba;De 55 a 59 años;60.843
Córdoba;De 60 a 64 años;53.917
Córdoba;De 65 a 69 años;42.638
Córdoba;De 70 a 74 años  ;34.500
Córdoba;De 75 a 79 años  ;29.773
Córdoba;De 80 a 84 años  ;21.487
Córdoba;De 85 a 89 años  ;17.440
Córdoba;De 90 a 94 años  ;8.075
Córdoba;De 95 a 99 años  ;1.860
Córdoba;100 y más años;311
Granada;De 0 a 4 años;36.344
Granada;De 5 a 9 años;44.218
Granada;De 10 a 14 años  ;50.197
Granada;De 15 a 19 años  ;50.931
Granada;De 20 a 24 años;50.637
Granada;De 25 a 29 años;52.729
Granada;De 30 a 34 años;56.451
Granada;De 35 a 39 años;61.087
Granada;De 40 a 44 años;71.676
Granada;De 45 a 49 años;72.361
Granada;De 50 a 54 años;71.404
Granada;De 55 a 59 años;70.294
Granada;De 60 a 64 años;61.913
Granada;De 65 a 69 años;48.172
Granada;De 70 a 74 años  ;40.184
Granada;De 75 a 79 años  ;33.035
Granada;De 80 a 84 años  ;23.101
Granada;De 85 a 89 años  ;17.884
Granada;De 90 a 94 años  ;7.408
Granada;De 95 a 99 años  ;1.648
Granada;100 y más años;313
Huelva;De 0 a 4 años;21.373
Huelva;De 5 a 9 años;25.794
Huelva;De 10 a 14 años  ;29.881
Huelva;De 15 a 19 años  ;28.853
Huelva;De 20 a 24 años;27.947
Huelva;De 25 a 29 años;29.495
Huelva;De 30 a 34 años;32.679
Huelva;De 35 a 39 años;37.429
Huelva;De 40 a 44 años;44.716
Huelva;De 45 a 49 años;45.443
Huelva;De 50 a 54 años;42.638
Huelva;De 55 a 59 años;37.755
Huelva;De 60 a 64 años;32.914
Huelva;De 65 a 69 años;25.785
Huelva;De 70 a 74 años  ;22.641
Huelva;De 75 a 79 años  ;18.082
Huelva;De 80 a 84 años  ;11.831
Huelva;De 85 a 89 años  ;9.068
Huelva;De 90 a 94 años  ;3.483
Huelva;De 95 a 99 años  ;790
Huelva;100 y más años;166
Jaén;De 0 a 4 años;23.264
Jaén;De 5 a 9 años;27.602
Jaén;De 10 a 14 años  ;32.235
Jaén;De 15 a 19 años  ;33.803
Jaén;De 20 a 24 años;34.902
Jaén;De 25 a 29 años;36.908
Jaén;De 30 a 34 años;37.598
Jaén;De 35 a 39 años;38.609
Jaén;De 40 a 44 años;43.873
Jaén;De 45 a 49 años;46.144
Jaén;De 50 a 54 años;48.934
Jaén;De 55 a 59 años;50.280
Jaén;De 60 a 64 años;44.747
Jaén;De 65 a 69 años;34.141
Jaén;De 70 a 74 años  ;27.038
Jaén;De 75 a 79 años  ;22.638
Jaén;De 80 a 84 años  ;18.219
Jaén;De 85 a 89 años  ;14.708
Jaén;De 90 a 94 años  ;6.583
Jaén;De 95 a 99 años  ;1.358
Jaén;100 y más años;177
Málaga;De 0 a 4 años;68.043
Málaga;De 5 a 9 años;86.346
Málaga;De 10 a 14 años  ;97.288
Málaga;De 15 a 19 años  ;94.127
