Provincias;Consumo eléctrico;Total
Almería;Viviendas totales;433.763
Almería;Viviendas vacías;73.028
Almería;Mediana consumo anual;2.333
Almería;Viviendas con bajo consumo;16.125
Almería;Viviendas de uso esporádico;45.695
Almería;Viviendas de uso esporádico (entre 251 y 500 kwh);23.258
Almería;Viviendas de uso esporádico (entre 501 y 750 kwh);22.437
Almería;Viviendas con cosumo entre 751 y 1.000 kwh;21.075
Almería;Viviendas con cosumo entre 1.001 y 2.000 kwh;80.183
Almería;Viviendas con cosumo entre 2.001 y 3.000 kwh;71.363
Almería;Viviendas con cosumo entre 3.001 y 4.000 kwh;52.873
Almería;Viviendas con cosumo entre 4.001 y 5.000 kwh;32.584
Almería;Viviendas con cosumo entre 5.001 y 6.000 kwh;17.619
Almería;Viviendas con cosumo entre 6.001 y 7.000 kwh;9.271
Almería;Viviendas con cosumo entre 7.001 y 8.000 kwh;4.862
Almería;Viviendas con cosumo entre 8.001 y 9.000 kwh;2.718
Almería;Viviendas con cosumo entre 9.001 y 10.000 kwh;1.712
Almería;Viviendas con consumo mayor de 10.000 kwh;4.655
Cádiz;Viviendas totales;648.306
Cádiz;Viviendas vacías;70.164
Cádiz;Mediana consumo anual;2.232
Cádiz;Viviendas con bajo consumo;18.119
Cádiz;Viviendas de uso esporádico;64.017
Cádiz;Viviendas de uso esporádico (entre 251 y 500 kwh);30.656
Cádiz;Viviendas de uso esporádico (entre 501 y 750 kwh);33.361
Cádiz;Viviendas con cosumo entre 751 y 1.000 kwh;34.399
Cádiz;Viviendas con cosumo entre 1.001 y 2.000 kwh;147.254
Cádiz;Viviendas con cosumo entre 2.001 y 3.000 kwh;136.273
Cádiz;Viviendas con cosumo entre 3.001 y 4.000 kwh;85.026
Cádiz;Viviendas con cosumo entre 4.001 y 5.000 kwh;42.557
Cádiz;Viviendas con cosumo entre 5.001 y 6.000 kwh;20.878
Cádiz;Viviendas con cosumo entre 6.001 y 7.000 kwh;10.697
Cádiz;Viviendas con cosumo entre 7.001 y 8.000 kwh;6.013
Cádiz;Viviendas con cosumo entre 8.001 y 9.000 kwh;3.506
Cádiz;Viviendas con cosumo entre 9.001 y 10.000 kwh;2.369
Cádiz;Viviendas con consumo mayor de 10.000 kwh;7.034
Córdoba;Viviendas totales;414.025
Córdoba;Viviendas vacías;53.336
Córdoba;Mediana consumo anual;2.969
Córdoba;Viviendas con bajo consumo;10.696
Córdoba;Viviendas de uso esporádico;30.208
Córdoba;Viviendas de uso esporádico (entre 251 y 500 kwh);15.705
Córdoba;Viviendas de uso esporádico (entre 501 y 750 kwh);14.503
Córdoba;Viviendas con cosumo entre 751 y 1.000 kwh;14.353
Córdoba;Viviendas con cosumo entre 1.001 y 2.000 kwh;62.809
Córdoba;Viviendas con cosumo entre 2.001 y 3.000 kwh;69.761
Córdoba;Viviendas con cosumo entre 3.001 y 4.000 kwh;61.795
Córdoba;Viviendas con cosumo entre 4.001 y 5.000 kwh;44.054
Córdoba;Viviendas con cosumo entre 5.001 y 6.000 kwh;27.478
Córdoba;Viviendas con cosumo entre 6.001 y 7.000 kwh;15.728
Córdoba;Viviendas con cosumo entre 7.001 y 8.000 kwh;9.010
Córdoba;Viviendas con cosumo entre 8.001 y 9.000 kwh;4.938
Córdoba;Viviendas con cosumo entre 9.001 y 10.000 kwh;2.977
Córdoba;Viviendas con consumo mayor de 10.000 kwh;6.882
Granada;Viviendas totales;573.692
Granada;Viviendas vacías;90.538
Granada;Mediana consumo anual;2.356
Granada;Viviendas con bajo consumo;22.156
Granada;Viviendas de uso esporádico;57.231
Granada;Viviendas de uso esporádico (entre 251 y 500 kwh);29.553
Granada;Viviendas de uso esporádico (entre 501 y 750 kwh);27.678
Granada;Viviendas con cosumo entre 751 y 1.000 kwh;26.848
Granada;Viviendas con cosumo entre 1.001 y 2.000 kwh;109.417
Granada;Viviendas con cosumo entre 2.001 y 3.000 kwh;96.712
Granada;Viviendas con cosumo entre 3.001 y 4.000 kwh;69.667
Granada;Viviendas con cosumo entre 4.001 y 5.000 kwh;42.873
Granada;Viviendas con cosumo entre 5.001 y 6.000 kwh;24.254
Granada;Viviendas con cosumo entre 6.001 y 7.000 kwh;12.981
Granada;Viviendas con cosumo entre 7.001 y 8.000 kwh;7.235
Granada;Viviendas con cosumo entre 8.001 y 9.000 kwh;4.267
