Provincias;Periodo;Total
Almería;2022;28442
Almería;2021;27184
Almería;2020;26276
Cádiz;2022;30055
Cádiz;2021;28501
Cádiz;2020;27179
Córdoba;2022;29082
Córdoba;2021;27909
Córdoba;2020;26462
Granada;2022;29113
Granada;2021;27748
Granada;2020;26373
Huelva;2022;29133
Huelva;2021;27770
Huelva;2020;26542
Jaén;2022;27429
Jaén;2021;26808
Jaén;2020;25141
Málaga;2022;30644
Málaga;2021;28574
Málaga;2020;27084
Sevilla;2022;31899
Sevilla;2021;30254
Sevilla;2020;28912
Huesca;2022;34901
Huesca;2021;33603
Huesca;2020;32521
Teruel;2022;32889
Teruel;2021;31658
Teruel;2020;30672
Zaragoza;2022;36098
Zaragoza;2021;34492
Zaragoza;2020;33654
Asturias;2022;33242
Asturias;2021;31623
Asturias;2020;30658
Cantabria;2022;34461
Cantabria;2021;32734
Cantabria;2020;31545
Ávila;2022;28227
Ávila;2021;27023
Ávila;2020;26065
Burgos;2022;34530
Burgos;2021;33203
Burgos;2020;32078
León;2022;31392
León;2021;30024
León;2020;29196
Palencia;2022;32105
Palencia;2021;31008
Palencia;2020;30176
Salamanca;2022;30435
Salamanca;2021;29176
Salamanca;2020;28130
Segovia;2022;33362
Segovia;2021;32028
Segovia;2020;30787
Soria;2022;33830
Soria;2021;33138
Soria;2020;32372
Valladolid;2022;34708
Valladolid;2021;33348
Valladolid;2020;32397
Zamora;2022;27928
Zamora;2021;26846
Zamora;2020;25855
Albacete;2022;30908
Albacete;2021;29451
Albacete;2020;28288
Ciudad Real;2022;29290
Ciudad Real;2021;27895
Ciudad Real;2020;26842
Cuenca;2022;29064
Cuenca;2021;27927
Cuenca;2020;26719
Guadalajara;2022;35509
Guadalajara;2021;33609
Guadalajara;2020;32431
Toledo;2022;30626
Toledo;2021;28990
Toledo;2020;27906
Barcelona;2022;41594
Barcelona;2021;39511
Barcelona;2020;38226
Girona;2022;37444
Girona;2021;35585
Girona;2020;34212
Lleida;2022;35640
Lleida;2021;34308
Lleida;2020;33305
Tarragona;2022;34872
Tarragona;2021;33304
Tarragona;2020;31975
Alicante/Alacant;2022;28965
Alicante/Alacant;2021;27380
Alicante/Alacant;2020;26274
Castellón/Castelló;2022;32694
Castellón/Castelló;2021;31163
Castellón/Castelló;2020;29875
Valencia/València;2022;34198
Valencia/València;2021;32317
Valencia/València;2020;31208
Badajoz;2022;27243
Badajoz;2021;26050
Badajoz;2020;24905
Cáceres;2022;26529
Cáceres;2021;25497
Cáceres;2020;24373
Coruña, A;2022;34683
Coruña, A;2021;32643
Coruña, A;2020;31710
Lugo;2022;30709
Lugo;2021;29158
Lugo;2020;28176
Ourense;2022;29073
Ourense;2021;27727
Ourense;2020;26979
Pontevedra;2022;33230
Pontevedra;2021;31541
Pontevedra;2020;30475
Madrid;2022;45726
Madrid;2021;43037
Madrid;2020;41830
Murcia;2022;32743
Murcia;2021;31262
Murcia;2020;30171
Navarra;2022;40760
Navarra;2021;38267
Navarra;2020;37082
Araba/Álava;2022;38586
Araba/Álava;2021;36546
Araba/Álava;2020;35412
Bizkaia;2022;40694
Bizkaia;2021;38390
Bizkaia;2020;37242
Gipuzkoa;2022;43392
Gipuzkoa;2021;39988
Gipuzkoa;2020;39023
Rioja, La;2022;33314
Rioja, La;2021;31884
Rioja, La;2020;30843
