Provincias;Tamaño del hogar;Total
04 Almería;1 persona;62352
04 Almería;2 personas;77714
04 Almería;3 personas;54438
04 Almería;4 personas;51754
04 Almería;5 personas o más;22374
11 Cádiz;1 persona;109454
11 Cádiz;2 personas;131124
11 Cádiz;3 personas;108196
11 Cádiz;4 personas;98965
11 Cádiz;5 personas o más;28595
14 Córdoba;1 persona;80008
14 Córdoba;2 personas;93534
14 Córdoba;3 personas;62559
14 Córdoba;4 personas;58001
14 Córdoba;5 personas o más;15860
18 Granada;1 persona;104079
18 Granada;2 personas;112249
18 Granada;3 personas;69370
18 Granada;4 personas;66119
18 Granada;5 personas o más;21505
21 Huelva;1 persona;47929
21 Huelva;2 personas;54895
21 Huelva;3 personas;43360
21 Huelva;4 personas;39459
21 Huelva;5 personas o más;13903
23 Jaén;1 persona;61726
23 Jaén;2 personas;71619
23 Jaén;3 personas;49219
23 Jaén;4 personas;51563
23 Jaén;5 personas o más;10765
29 Málaga;1 persona;164043
29 Málaga;2 personas;199914
29 Málaga;3 personas;133969
29 Málaga;4 personas;117474
29 Málaga;5 personas o más;43064
41 Sevilla;1 persona;172464
41 Sevilla;2 personas;209459
41 Sevilla;3 personas;158626
41 Sevilla;4 personas;154016
41 Sevilla;5 personas o más;48155
22 Huesca;1 persona;24495
22 Huesca;2 personas;27969
22 Huesca;3 personas;18138
22 Huesca;4 personas;13174
22 Huesca;5 personas o más;4980
44 Teruel;1 persona;15310
44 Teruel;2 personas;16817
44 Teruel;3 personas;10365
44 Teruel;4 personas;9081
44 Teruel;5 personas o más;2466
50 Zaragoza;1 persona;112528
50 Zaragoza;2 personas;126974
50 Zaragoza;3 personas;79326
50 Zaragoza;4 personas;63360
50 Zaragoza;5 personas o más;17842
Asturias;1 persona;142358
Asturias;2 personas;154642
Asturias;3 personas;94532
Asturias;4 personas;49968
Asturias;5 personas o más;11181
35 Palmas, Las;1 persona;108840
35 Palmas, Las;2 personas;128599
35 Palmas, Las;3 personas;99888
35 Palmas, Las;4 personas;73225
35 Palmas, Las;5 personas o más;33334
38 Santa Cruz de Tenerife;1 persona;100012
38 Santa Cruz de Tenerife;2 personas;125576
38 Santa Cruz de Tenerife;3 personas;94585
38 Santa Cruz de Tenerife;4 personas;70289
38 Santa Cruz de Tenerife;5 personas o más;28410
Cantabria;1 persona;70524
Cantabria;2 personas;75352
Cantabria;3 personas;50059
Cantabria;4 personas;36624
Cantabria;5 personas o más;10157
05 Ávila;1 persona;20152
05 Ávila;2 personas;20790
05 Ávila;3 personas;12077
05 Ávila;4 personas;9820
05 Ávila;5 personas o más;2737
09 Burgos;1 persona;46630
09 Burgos;2 personas;47077
09 Burgos;3 personas;27628
09 Burgos;4 personas;22780
09 Burgos;5 personas o más;5559
24 León;1 persona;62162
24 León;2 personas;66919
24 León;3 personas;37525
24 León;4 personas;25911
24 León;5 personas o más;5376
34 Palencia;1 persona;20273
34 Palencia;2 personas;21214
34 Palencia;3 personas;13164
34 Palencia;4 personas;9173
34 Palencia;5 personas o más;2273
37 Salamanca;1 persona;43393
37 Salamanca;2 personas;46021
37 Salamanca;3 personas;27864
37 Salamanca;4 personas;19306
37 Salamanca;5 personas o más;3959
40 Segovia;1 persona;17525
40 Segovia;2 personas;18742
40 Segovia;3 personas;11799
40 Segovia;4 personas;10938
40 Segovia;5 personas o más;2864
42 Soria;1 persona;11725
42 Soria;2 personas;11407
42 Soria;3 personas;6855
42 Soria;4 personas;5735
42 Soria;5 personas o más;1559
47 Valladolid;1 persona;63785
47 Valladolid;2 personas;73568
47 Valladolid;3 personas;43722
47 Valladolid;4 personas;31364
47 Valladolid;5 personas o más;7768
49 Zamora;1 persona;23747
49 Zamora;2 personas;24998
49 Zamora;3 personas;14492
49 Zamora;4 personas;9179
49 Zamora;5 personas o más;1768
02 Albacete;1 persona;39497
02 Albacete;2 personas;43386
02 Albacete;3 personas;30626
02 Albacete;4 personas;30621
02 Albacete;5 personas o más;7900
13 Ciudad Real;1 persona;50393
13 Ciudad Real;2 personas;57305
13 Ciudad Real;3 personas;37762
13 Ciudad Real;4 personas;37444
13 Ciudad Real;5 personas o más;9850
16 Cuenca;1 persona;21181
16 Cuenca;2 personas;24477
16 Cuenca;3 personas;15257
16 Cuenca;4 personas;13817
16 Cuenca;5 personas o más;4328
19 Guadalajara;1 persona;25565
19 Guadalajara;2 personas;29564
19 Guadalajara;3 personas;20765
19 Guadalajara;4 personas;18820
19 Guadalajara;5 personas o más;6263
45 Toledo;1 persona;60845
45 Toledo;2 personas;79341
45 Toledo;3 personas;54119
45 Toledo;4 personas;51874
45 Toledo;5 personas o más;16999
08 Barcelona;1 persona;595566
08 Barcelona;2 personas;706877
08 Barcelona;3 personas;442185
08 Barcelona;4 personas;360956
08 Barcelona;5 personas o más;140633
17 Girona;1 persona;72069
17 Girona;2 personas;94846
17 Girona;3 personas;58530
17 Girona;4 personas;49043
17 Girona;5 personas o más;22408
25 Lleida;1 persona;47780
25 Lleida;2 personas;54525
25 Lleida;3 personas;35273
