Provincias,Labels_CJ
Albacete,2
Alicante/Alacant,2
Almería,4
Araba/Álava,3
Asturias,1
Badajoz,2
Barcelona,4
Bizkaia,4
Burgos,2
Cantabria,2
Castellón/Castelló,2
Ciudad Real,2
"Coruña, A",2
Cuenca,2
Cáceres,2
Cádiz,4
Córdoba,4
Gipuzkoa,4
Girona,4
Granada,4
Guadalajara,4
Huelva,4
Huesca,2
Jaén,2
León,1
Lleida,2
Lugo,1
Madrid,3
Murcia,4
Málaga,4
Navarra,4
Ourense,1
Palencia,1
Pontevedra,2
"Rioja, La",2
Salamanca,1
Segovia,2
Sevilla,3
Soria,3
Tarragona,2
Teruel,2
Toledo,2
Valencia/València,2
Valladolid,2
Zamora,1
Zaragoza,4
Ávila,1
