Provincias,Labels_KM
Albacete,2
Alicante/Alacant,2
Almería,2
Araba/Álava,1
Asturias,0
Badajoz,2
Barcelona,3
Bizkaia,3
Burgos,0
Cantabria,0
Castellón/Castelló,2
Ciudad Real,2
"Coruña, A",0
Cuenca,0
Cáceres,0
Cádiz,1
Córdoba,2
Gipuzkoa,3
Girona,3
Granada,2
Guadalajara,3
Huelva,1
Huesca,2
Jaén,2
León,0
Lleida,2
Lugo,0
Madrid,3
Murcia,2
Málaga,2
Navarra,3
Ourense,0
Palencia,0
Pontevedra,0
"Rioja, La",2
Salamanca,0
Segovia,0
Sevilla,1
Soria,1
Tarragona,2
Teruel,0
Toledo,2
Valencia/València,2
Valladolid,0
Zamora,0
Zaragoza,3
Ávila,0
