Provincias,Cluster
Albacete,0
Alicante/Alacant,2
Almería,2
Araba/Álava,2
Asturias,1
Badajoz,0
Barcelona,2
Bizkaia,0
Burgos,0
Cantabria,1
Castellón/Castelló,0
Ciudad Real,0
"Coruña, A",1
Cuenca,0
Cáceres,0
Cádiz,2
Córdoba,0
Gipuzkoa,0
Girona,2
Granada,2
Guadalajara,2
Huelva,0
Huesca,2
Jaén,0
León,1
Lleida,2
Lugo,1
Madrid,2
Murcia,2
Málaga,2
Navarra,2
Ourense,1
Palencia,0
Pontevedra,1
"Rioja, La",0
Salamanca,1
Segovia,0
Sevilla,2
Soria,0
Tarragona,2
Teruel,0
Toledo,0
Valencia/València,0
Valladolid,0
Zamora,1
Zaragoza,2
Ávila,1
